Time (s),Voltage (V),Current (A)
597.529412631,5.0466,0.667535
598.1991322879999,5.0464,0.660505
598.8223254249999,5.0466,0.678594
599.4882406499999,5.0467,"0.76164
"
600.1375131140001,5.0466,0.678402
600.774085688,5.0464,0.676068
601.418856669,5.0465,0.676434
602.0646549179999,5.0466,0.659101
602.7393355940001,5.0467,"0.77536
"
603.3717610169999,5.0466,0.662272
604.0291665699999,5.0464,0.686345
604.6733590409999,5.0462,"0.67298
"
605.327287828,5.0463,0.677597
605.9732984729999,5.0464,0.769322
606.6246304669999,5.0465,0.677062
607.269230915,5.0465,0.666773
607.908458139,5.0464,0.672257
608.553453753,5.0465,"0.67613
"
609.1923413299999,5.0466,0.746278
609.838836829,5.0467,0.657718
610.4840832289999,5.0466,0.770093
611.1291378010001,5.0464,0.677107
611.774329719,5.0463,0.676343
612.4435300729999,5.0464,0.726518
613.0689822669999,5.0465,0.676239
613.734157975,5.0465,0.772471
614.358466855,5.0465,0.660895
615.03577608,5.0464,"0.6683
"
615.6671606259999,5.0465,0.674109
616.338696666,5.0466,0.667596
616.9634013350001,5.0466,0.740718
617.6337913509999,5.0466,0.678288
618.258981033,5.0465,0.676632
618.928570608,5.0463,0.676526
619.554318533,5.0463,0.675059
620.212640447,5.0464,"0.73351
"
620.8562619459999,5.0465,0.678255
621.5032873939999,5.0465,0.658631
622.14630825,5.0464,0.663823
622.787377331,5.0463,0.676465
623.435704794,5.0463,0.671958
624.0738599900001,5.0465,0.664381
624.717860453,5.0469,0.674355
625.363457316,5.0467,0.678137
626.034012588,5.0463,0.678083
626.658212388,5.0465,0.672235
627.326713382,5.0465,0.676525
627.9533657499999,5.0467,0.751443
629.0229456289999,5.0465,0.767872
629.6481135269999,5.0464,0.678679
630.3131718689999,5.0462,0.752884
630.9384983109999,5.0464,0.675049
631.6027845460001,5.0465,0.678202
632.2275024809999,5.0466,0.678156
632.8937740829999,5.0467,0.659871
633.528466515,5.0464,0.777291
634.185037895,5.0462,0.675523
634.833896401,5.0464,0.679469
635.473429124,5.0465,"0.6626
"
636.1180005809999,5.0466,0.676101
636.7681561009999,5.0466,0.772464
637.4131242349999,5.0462,0.677555
638.063335067,5.0462,0.675403
638.707660473,5.0464,0.678723
639.73913197,5.0466,0.657683
640.382466565,5.0466,0.766898
641.032651144,5.0463,0.685534
641.6783871590001,5.0462,0.676008
642.3235090420001,5.0464,0.678349
642.967541623,5.0466,0.677505
643.6121627089999,5.0466,0.714059
644.2823085749999,5.0466,"0.66135
"
644.9064325729998,5.0464,0.669379
645.5777720649999,5.0464,0.745532
646.2025535289999,5.0465,0.666866
646.8726623590001,5.0465,0.738126
647.497621899,5.0466,0.677407
648.158084676,5.0467,0.679011
648.801613695,5.0466,0.688433
649.441577093,5.0466,0.675603
650.1139844740001,5.0467,0.771562
650.7381425819999,5.0467,0.678214
651.3976463189999,5.0468,0.658868
652.0427081379999,5.0464,0.664454
652.682698304,5.0462,0.670881
653.327516001,5.0463,"0.75115
"
653.971509194,5.0466,0.664513
654.617493641,5.0466,0.676384
655.2647169239999,5.0464,0.676433
655.936803457,5.0463,0.678392
656.5652444929999,5.0463,0.764296
657.2228192109999,5.0465,0.677406
657.8675829429999,5.0466,0.682295
658.517336867,5.0465,0.658418
659.162419149,5.0466,0.660736
659.8024780599999,5.0465,0.769021
660.449396382,5.0464,0.673573
661.0922947459999,5.0465,0.719999
661.7372597819999,5.0465,0.678828
662.381968353,5.0465,0.679017
663.026814739,5.0465,0.677858
663.6720627499999,5.0464,0.668945
664.3422068759999,5.0461,0.760772
664.967226923,5.0464,0.665848
665.627206543,5.0465,"0.66001
"
666.2511777049999,5.0464,0.657012
666.9229222899999,5.0465,0.678064
667.5465921919999,5.0464,0.765932
668.2065837380001,5.0464,0.675374
668.85233754,5.0465,0.675715
669.4922303440001,5.0465,0.678089
670.137062712,5.0463,0.678119
670.790070518,5.0463,0.743797
671.4372369089999,5.0462,0.671791
672.077369977,5.0463,0.671123
672.72165363,5.0466,0.664164
673.3725028839999,5.0467,0.663716
674.017344572,5.0466,0.686348
674.6579640049999,5.0463,0.677834
675.301458051,5.0463,0.759593
675.945918893,5.0464,0.678144
676.5901830109999,5.0465,0.677282
677.237181423,5.0467,0.678575
677.8824112959999,5.0468,"0.66168
"
678.5309759489999,5.0465,0.754474
679.1770034470001,5.0462,"0.67421
"
679.821220321,5.0464,0.666937
680.466676083,5.0465,0.660626
681.109760737,5.0466,"0.68048
"
681.7556338530001,5.0466,0.695561
682.3971688259999,5.0464,0.678652
683.042005819,5.0465,"0.68081
"
683.6800244429999,5.0465,0.678043
684.326745133,5.0465,0.771951
684.9719768739999,5.0465,0.658656
685.6168498029999,5.0465,0.665147
686.267220125,5.0463,0.757731
686.910443475,5.0464,"0.67045
"
687.554127567,5.0465,0.662251
688.2020578709999,5.0467,0.658712
688.841481634,5.0464,0.679795
689.486291849,5.0462,0.689119
690.1268811119999,5.0463,0.678548
690.771686847,5.0465,"0.68377
"
691.412389394,5.0465,0.676308
692.0560005109999,5.0466,0.658447
